source,target
<ATTRS> เห็นแก่ตัวเสีย <CONT_START> พวกทั้งหลายครับผลไประโยชน <START>,<ATTRS> เห็นแก่ตัวเสีย <CONT_START> พวกทั้งหลายครับผลไประโยชน <START> พวกเห็นแก่ตัวทั้งหลายครับเสียผลไประโยชน
<ATTRS>  <CONT_START> เมื่อไรจะแก้เตาใหม่ทุกสาขาตักน้ำชุไปยาก <START>,<ATTRS>  <CONT_START> เมื่อไรจะแก้เตาใหม่ทุกสาขาตักน้ำชุไปยาก <START> เมื่อไรจะแก้เตาใหม่ทุกสาขาตักน้ำชุไปยาก
<ATTRS> ไม่ชอบ <CONT_START> น้ำจิ้มน่ามีน้ำจิ้มแบบสุกี้ด้วย <START>,<ATTRS> ไม่ชอบ <CONT_START> น้ำจิ้มน่ามีน้ำจิ้มแบบสุกี้ด้วย <START> ไม่ชอบน้ำจิ้มน่ามีน้ำจิ้มแบบสุกี้ด้วย
<ATTRS> อิดอกเกินปวด <CONT_START> ยังไงสรุปมาตัวหนังสือเล็กตา <START>,<ATTRS> อิดอกเกินปวด <CONT_START> ยังไงสรุปมาตัวหนังสือเล็กตา <START> ยังไงสรุปมาอิดอกตัวหนังสือเล็กเกินปวดตา
<ATTRS> เสีย <CONT_START> ยืมชุดได้มะจะได้ไม่ค่าเช่า5 <START>,<ATTRS> เสีย <CONT_START> ยืมชุดได้มะจะได้ไม่ค่าเช่า5 <START> ยืมชุดได้มะจะได้ไม่เสียค่าเช่า5
<ATTRS> อย่าปัญหา <CONT_START> รถนิกสันเสี่ยงครับพี่เยอะครับ <START>,<ATTRS> อย่าปัญหา <CONT_START> รถนิกสันเสี่ยงครับพี่เยอะครับ <START> รถนิกสันอย่าเสี่ยงครับพี่ปัญหาเยอะครับ
<ATTRS>  <CONT_START> รอกินไอติมแมคมาประมาณครึ่งชม.แล้วจ้า <START>,<ATTRS>  <CONT_START> รอกินไอติมแมคมาประมาณครึ่งชม.แล้วจ้า <START> รอกินไอติมแมคมาประมาณครึ่งชม.แล้วจ้า
<ATTRS> รําคาญมลพิษอี ห่า <CONT_START> รำคาญผ้าอนามัยว่ะจะใส่แพละนะ <START>,<ATTRS> รําคาญมลพิษอี ห่า <CONT_START> รำคาญผ้าอนามัยว่ะจะใส่แพละนะ <START> รำคาญผ้าอนามัยว่ะจะใส่แพมลพิษละนะอีห่า
<ATTRS> รําคาญสัสมึงจะ งกเหี้ย <CONT_START> รำคาญผ้าอนามัยกาวไปไหน <START>,<ATTRS> รําคาญสัสมึงจะ งกเหี้ย <CONT_START> รำคาญผ้าอนามัยกาวไปไหน <START> รำคาญผ้าอนามัยสัสมึงจะงกกาวไปไหนเหี้ย
<ATTRS> เสีย <CONT_START> แล้วก็ทรัพย์ให้กับพาเลตอีทูดี้จได้ <START>,<ATTRS> เสีย <CONT_START> แล้วก็ทรัพย์ให้กับพาเลตอีทูดี้จได้ <START> แล้วก็เสียทรัพย์ให้กับพาเลตอีทูดี้จได้
<ATTRS> ลําลูกกา ไม่ ร่วม <CONT_START> สาขาโฮมโปรลำลูกกาไม่ร่วมอะงื่อๆ😢😢😢 <START>,<ATTRS> ลําลูกกา ไม่ ร่วม <CONT_START> สาขาโฮมโปรลำลูกกาไม่ร่วมอะงื่อๆ😢😢😢 <START> สาขาโฮมโปรลำลูกกาไม่ร่วมอะงื่อๆ😢😢😢
<ATTRS> ไม่ไหว <CONT_START> สิงห์จริงนี่กินแต่ออร่ากับเนสท์เล่ <START>,<ATTRS> ไม่ไหว <CONT_START> สิงห์จริงนี่กินแต่ออร่ากับเนสท์เล่ <START> สิงห์ไม่ไหวจริงนี่กินแต่ออร่ากับเนสท์เล่
<ATTRS> แสง สี เล่น กุสัดไม่กิน <CONT_START> แล้วไอละเหล้าถูก <START>,<ATTRS> แสง สี เล่น กุสัดไม่กิน <CONT_START> แล้วไอละเหล้าถูก <START> แสงสีเล่นกุแล้วไอสัดไม่กินละเหล้าถูก
<ATTRS> เสียใจด้วย <CONT_START> ออๆๆลืมขอโทดๆๆๆจ๊ะ😟 <START>,<ATTRS> เสียใจด้วย <CONT_START> ออๆๆลืมขอโทดๆๆๆจ๊ะ😟 <START> ออๆๆลืมขอโทดๆๆๆเสียใจด้วยจ๊ะ😟
<ATTRS> ▁อิ ห่าแพ้หมด <CONT_START> รากกูแสงสีเหรอวะไส้พุง <START>,<ATTRS> ▁อิ ห่าแพ้หมด <CONT_START> รากกูแสงสีเหรอวะไส้พุง <START> อิห่ารากกูแพ้แสงสีเหรอวะหมดไส้หมดพุง
<ATTRS> อิเหี้ย <CONT_START> จัยเย็นมันอินนิสีฟรีเกาหลีว่ะพ.ศ. <START>,<ATTRS> อิเหี้ย <CONT_START> จัยเย็นมันอินนิสีฟรีเกาหลีว่ะพ.ศ. <START> อิเหี้ยจัยเย็นมันอินนิสีฟรีเกาหลีว่ะพ.ศ.
<ATTRS> อีเหี้ย <CONT_START> chanellancomesk-lldiorโอ <START>,<ATTRS> อีเหี้ย <CONT_START> chanellancomesk-lldiorโอ <START> chanellancomesk-lldiorโออีเหี้ย
<ATTRS> จืด <CONT_START> heinekenอ่ะมิใช่สายกูเลย5 <START>,<ATTRS> จืด <CONT_START> heinekenอ่ะมิใช่สายกูเลย5 <START> heinekenจืดอ่ะมิใช่สายกูเลย5
<ATTRS> แพงไม่คุ้ม <CONT_START> hondaอะไหล่มันถ้านำพาทำtaxi <START>,<ATTRS> แพงไม่คุ้ม <CONT_START> hondaอะไหล่มันถ้านำพาทำtaxi <START> hondaอะไหล่แพงมันไม่คุ้มถ้านำพาทำtaxi
<ATTRS> ไม่ หนุ ก <CONT_START> กินฟูลงมูนตอนไม่อารมณ์ละกินเลยอะ <START>,<ATTRS> ไม่ หนุ ก <CONT_START> กินฟูลงมูนตอนไม่อารมณ์ละกินเลยอะ <START> กินฟูลงมูนตอนไม่อารมณ์ละกินไม่หนุกเลยอะ
<ATTRS> คดี ใหญ่มาก ครับ บุหรี่ <CONT_START> ไฟฟ้าแต่บ้าเต็มเลย <START>,<ATTRS> คดี ใหญ่มาก ครับ บุหรี่ <CONT_START> ไฟฟ้าแต่บ้าเต็มเลย <START> คดีใหญ่มากครับบุหรี่ไฟฟ้าแต่บ้าเต็มเลย
<ATTRS> อี หีแพงมากเหม็น มาก <CONT_START> ครีมสมูทแต่นี่คือและ <START>,<ATTRS> อี หีแพงมากเหม็น มาก <CONT_START> ครีมสมูทแต่นี่คือและ <START> ครีมสมูทอีหีแต่นี่คือแพงมากและเหม็นมาก
<ATTRS> แพง <CONT_START> คิดในแง่เราได้กินของเรามีตัง555ใน <START>,<ATTRS> แพง <CONT_START> คิดในแง่เราได้กินของเรามีตัง555ใน <START> คิดในแง่เราได้กินของแพงเรามีตัง555ใน
<ATTRS> สัส <CONT_START> เค้าให้ใส่ชุดไทยยุดแม่การะเกดตอนนี้ <START>,<ATTRS> สัส <CONT_START> เค้าให้ใส่ชุดไทยยุดแม่การะเกดตอนนี้ <START> เค้าให้ใส่ชุดไทยสัสยุดแม่การะเกดตอนนี้
